date_hosp,group,n,cum_hosp,notes
3/8/2020,Rest of South Dakota,1,1,
3/8/2020,Minnehaha County,0,0,
3/16/2020,Rest of South Dakota,1,2,
3/16/2020,Minnehaha County,0,0,
3/17/2020,Rest of South Dakota,1,3,
3/17/2020,Minnehaha County,0,0,
3/20/2020,Minnehaha County,1,1,
3/20/2020,Rest of South Dakota,2,5,
3/22/2020,Minnehaha County,1,2,
3/22/2020,Rest of South Dakota,0,5,
3/23/2020,Rest of South Dakota,1,6,
3/23/2020,Minnehaha County,0,2,
3/24/2020,Minnehaha County,1,3,
3/24/2020,Rest of South Dakota,0,6,
3/25/2020,Rest of South Dakota,2,8,
3/25/2020,Minnehaha County,0,3,
3/26/2020,Minnehaha County,1,4,
3/26/2020,Rest of South Dakota,0,8,
3/27/2020,Minnehaha County,1,5,
3/27/2020,Rest of South Dakota,1,9,
3/29/2020,Minnehaha County,1,6,
3/29/2020,Rest of South Dakota,0,9,
3/30/2020,Rest of South Dakota,1,10,
3/30/2020,Minnehaha County,0,6,
3/31/2020,Minnehaha County,1,7,
3/31/2020,Rest of South Dakota,1,11,
4/1/2020,Minnehaha County,1,8,
4/1/2020,Rest of South Dakota,2,13,
4/2/2020,Rest of South Dakota,1,14,
4/2/2020,Minnehaha County,0,8,
4/3/2020,Minnehaha County,1,9,
4/3/2020,Rest of South Dakota,0,14,
4/5/2020,Minnehaha County,1,10,
4/5/2020,Rest of South Dakota,0,14,
4/6/2020,Minnehaha County,1,11,
4/6/2020,Rest of South Dakota,1,15,
4/7/2020,Minnehaha County,1,12,
4/7/2020,Rest of South Dakota,2,17,
4/8/2020,Minnehaha County,4,16,
4/8/2020,Rest of South Dakota,2,19,
4/9/2020,Minnehaha County,3,19,
4/9/2020,Rest of South Dakota,1,20,
4/10/2020,Minnehaha County,4,23,
4/10/2020,Rest of South Dakota,2,22,
4/11/2020,Minnehaha County,4,27,
4/11/2020,Rest of South Dakota,1,23,
4/12/2020,Minnehaha County,1,28,
4/12/2020,Rest of South Dakota,1,24,
4/13/2020,Minnehaha County,6,34,
4/13/2020,Rest of South Dakota,0,24,
4/14/2020,Minnehaha County,5,39,
4/14/2020,Rest of South Dakota,1,25,
4/15/2020,Minnehaha County,6,45,
4/15/2020,Rest of South Dakota,0,25,
4/16/2020,Minnehaha County,10,55,
4/16/2020,Rest of South Dakota,2,27,
4/17/2020,Minnehaha County,5,60,
4/17/2020,Rest of South Dakota,0,27,
4/18/2020,Minnehaha County,9,69,
4/18/2020,Rest of South Dakota,1,28,
4/19/2020,Minnehaha County,9,78,
4/19/2020,Rest of South Dakota,1,29,
4/20/2020,Minnehaha County,10,88,
4/20/2020,Rest of South Dakota,1,30,
4/21/2020,Minnehaha County,4,92,
4/21/2020,Rest of South Dakota,1,31,
4/22/2020,Minnehaha County,6,98,
4/22/2020,Rest of South Dakota,0,31,
4/23/2020,Minnehaha County,10,108,
4/23/2020,Rest of South Dakota,1,32,
4/24/2020,Minnehaha County,9,117,
4/24/2020,Rest of South Dakota,1,33,
4/25/2020,Minnehaha County,4,121,
4/25/2020,Rest of South Dakota,0,33,
4/26/2020,Minnehaha County,6,127,
4/26/2020,Rest of South Dakota,1,34,
4/27/2020,Minnehaha County,9,136,
4/27/2020,Rest of South Dakota,0,34,
4/28/2020,Minnehaha County,5,141,
4/28/2020,Rest of South Dakota,3,37,
4/29/2020,Minnehaha County,5,146,
4/29/2020,Rest of South Dakota,1,38,
4/30/2020,Minnehaha County,8,154,
4/30/2020,Rest of South Dakota,3,41,
5/1/2020,Minnehaha County,8,162,
5/1/2020,Rest of South Dakota,2,43,
5/2/2020,Minnehaha County,3,165,
5/2/2020,Rest of South Dakota,3,46,
5/3/2020,Minnehaha County,3,168,
5/3/2020,Rest of South Dakota,3,49,
5/4/2020,Minnehaha County,8,176,
5/4/2020,Rest of South Dakota,1,50,
5/5/2020,Minnehaha County,2,178,
5/5/2020,Rest of South Dakota,2,52,
5/6/2020,Minnehaha County,8,186,
5/6/2020,Rest of South Dakota,2,54,
5/7/2020,Minnehaha County,6,192,
5/7/2020,Rest of South Dakota,0,54,
5/8/2020,Minnehaha County,5,197,
5/8/2020,Rest of South Dakota,0,54,
5/9/2020,Minnehaha County,2,199,
5/9/2020,Rest of South Dakota,3,57,
5/10/2020,Minnehaha County,5,204,
5/10/2020,Rest of South Dakota,4,61,
5/11/2020,Minnehaha County,3,207,
5/11/2020,Rest of South Dakota,1,62,
5/12/2020,Minnehaha County,3,210,
5/12/2020,Rest of South Dakota,5,67,
5/13/2020,Minnehaha County,2,212,
5/13/2020,Rest of South Dakota,6,73,
5/14/2020,Minnehaha County,3,215,
5/14/2020,Rest of South Dakota,0,73,
5/15/2020,Minnehaha County,NA,228,
5/15/2020,Rest of South Dakota,NA,76,
5/17/2020,Minnehaha County,,231,
5/17/2020,Rest of South Dakota,,81,
5/18/2020,Minnehaha County,,233,
5/18/2020,Rest of South Dakota,,83,
5/19/2020,Minnehaha County,,235,
5/19/2020,Rest of South Dakota,,92,
5/20/2020,Minnehaha County,,238,
5/20/2020,Rest of South Dakota,,95,
5/21/2020,Minnehaha County,,243,
5/21/2020,Rest of South Dakota,,99,
5/22/2020,Minnehaha County,,247,
5/22/2020,Rest of South Dakota,,104,
5/23/2020,Minnehaha County,,250,
5/23/2020,Rest of South Dakota,,108,
5/24/2020,Minnehaha County,,253,
5/24/2020,Rest of South Dakota,,111,
5/25/2020,Minnehaha County,,256,
5/25/2020,Rest of South Dakota,,114,
5/26/2020,Minnehaha County,,259,
5/26/2020,Rest of South Dakota,,119,
5/27/2020,Minnehaha County,,263,
5/27/2020,Rest of South Dakota,,128,
5/28/2020,Minnehaha County,,267,
5/28/2020,Rest of South Dakota,,139,
5/29/2020,Minnehaha County,,267,
5/29/2020,Rest of South Dakota,,151,
5/30/2020,Minnehaha County,,269,
5/30/2020,Rest of South Dakota,,158,
5/31/2020,Minnehaha County,,271,
5/31/2020,Rest of South Dakota,,161,
6/1/2020,Minnehaha County,,272,
6/1/2020,Rest of South Dakota,,163,
6/2/2020,Minnehaha County,,276,
6/2/2020,Rest of South Dakota,,167,
6/3/2020,Minnehaha County,,280,
6/3/2020,Rest of South Dakota,,176,
6/4/2020,Minnehaha County,,283,
6/4/2020,Rest of South Dakota,,181,
6/5/2020,Minnehaha County,,283,
6/5/2020,Rest of South Dakota,,184,
6/6/2020,Minnehaha County,,284,
6/6/2020,Rest of South Dakota,,190,
6/7/2020,Minnehaha County,,285,
6/7/2020,Rest of South Dakota,,193,
6/8/2020,Minnehaha County,,285,
6/8/2020,Rest of South Dakota,,197,
6/9/2020,Minnehaha County,,287,
6/9/2020,Rest of South Dakota,,200,
6/10/2020,Minnehaha County,,291,
6/10/2020,Rest of South Dakota,,212,
6/11/2020,Minnehaha County,,292,
6/11/2020,Rest of South Dakota,,222,
6/12/2020,Minnehaha County,,294,
6/12/2020,Rest of South Dakota,,231,
6/13/2020,Minnehaha County,,294,
6/13/2020,Rest of South Dakota,,237,
6/14/2020,Minnehaha County,,297,
6/14/2020,Rest of South Dakota,,242,
6/15/2020,Minnehaha County,,297,
6/15/2020,Rest of South Dakota,,247,
6/16/2020,Minnehaha County,,299,
6/16/2020,Rest of South Dakota,,263,
6/17/2020,Minnehaha County,,300,
6/17/2020,Rest of South Dakota,,270,
6/18/2020,Minnehaha County,,304,
6/18/2020,Rest of South Dakota,,281,
6/19/2020,Minnehaha County,,305,
6/19/2020,Rest of South Dakota,,284,
6/20/2020,Minnehaha County,,305,
6/20/2020,Rest of South Dakota,,293,
6/21/2020,Minnehaha County,,309,
6/21/2020,Rest of South Dakota,,299,
6/22/2020,Minnehaha County,,310,
6/22/2020,Rest of South Dakota,,306,
6/23/2020,Minnehaha County,,311,
6/23/2020,Rest of South Dakota,,313,
6/24/2020,Minnehaha County,,312,
6/24/2020,Rest of South Dakota,,317,
6/25/2020,Minnehaha County,,314,
6/25/2020,Rest of South Dakota,,318,
6/26/2020,Minnehaha County,,315,
6/26/2020,Rest of South Dakota,,324,
6/27/2020,Minnehaha County,,317,
6/27/2020,Rest of South Dakota,,328,
6/28/2020,Minnehaha County,,318,
6/28/2020,Rest of South Dakota,,334,
6/29/2020,Minnehaha County,,320,
6/29/2020,Rest of South Dakota,,337,
6/30/2020,Minnehaha County,,322,
6/30/2020,Rest of South Dakota,,344,
7/1/2020,Minnehaha County,,323,
7/1/2020,Rest of South Dakota,,351,
7/2/2020,Minnehaha County,,325,
7/2/2020,Rest of South Dakota,,358,
7/3/2020,Minnehaha County,,327,
7/3/2020,Rest of South Dakota,,360,
7/4/2020,Minnehaha County,,327,
7/4/2020,Rest of South Dakota,,362,
7/5/2020,Minnehaha County,,327,
7/5/2020,Rest of South Dakota,,364,
7/6/2020,Minnehaha County,,327,
7/6/2020,Rest of South Dakota,,365,
7/7/2020,Minnehaha County,,326,lower than previous. Due to correction?
7/7/2020,Rest of South Dakota,,373,
7/8/2020,Minnehaha County,,329,
7/8/2020,Rest of South Dakota,,380,
7/9/2020,Minnehaha County,,333,
7/9/2020,Rest of South Dakota,,385,
7/10/2020,Minnehaha County,,334,
7/10/2020,Rest of South Dakota,,392,
7/11/2020,Minnehaha County,,340,
7/11/2020,Rest of South Dakota,,398,
7/12/2020,Minnehaha County,,340,
7/12/2020,Rest of South Dakota,,398,
7/13/2020,Minnehaha County,,341,
7/13/2020,Rest of South Dakota,,401,
7/14/2020,Minnehaha County,,341,
7/14/2020,Rest of South Dakota,,403,
7/15/2020,Minnehaha County,,342,
7/15/2020,Rest of South Dakota,,410,
7/16/2020,Minnehaha County,,342,
7/16/2020,Rest of South Dakota,,415,
7/17/2020,Minnehaha County,,344,
7/17/2020,Rest of South Dakota,,419,
7/18/2020,Minnehaha County,,347,
7/18/2020,Rest of South Dakota,,424,
7/19/2020,Minnehaha County,,347,we did not enter data on this date
7/19/2020,Rest of South Dakota,,427,we did not enter data on this date
7/20/2020,Minnehaha County,,347,
7/20/2020,Rest of South Dakota,,427,
7/21/2020,Minnehaha County,,347,
7/21/2020,Rest of South Dakota,,429,
7/22/2020,Minnehaha County,,349,
7/22/2020,Rest of South Dakota,,441,
